nom films;liens video;chemin acces;acteurs;genre;date_sortie;section;nouveaute;synopsis;restriction
300;https://www.youtube.com/watch?v=YNTY7tnmsxY&t=36s;images\300.jpg;Gerard Butler, Lena Headey;action, guerre;2007;bluray;;"Adapte du roman graphique de Frank Miller, 300 est un recit epique de la Bataille des Thermopyles, qui opposa en l'an - 480 le roi Leonidas et 300 soldats spartiates a Xerxes et l'immense armee perse. Face a un invincible ennemi, les 300 deployerent jusqu'a leur dernier souffle un courage surhumain ; leur vaillance et leur heroïque sacrifice inspirerent toute la Grece a se dresser contre la Perse, posant ainsi les premieres pierres de la democratie.";12 ans
2012;https://www.youtube.com/watch?v=m33rzUxflto&t=25s;images\2012.jpg;John Cusack, Chiwetel Ejiofor, Amanda Peet;science-fiction, catastrophe;2009;bluray;;Les Mayas, l'une des plus fascinantes civilisations que la Terre ait portees, nous ont transmis une prophetie : leur calendrier prend fin en 2012, et notre monde aussi. Depuis, les astrologues l'ont confirme, les numerologues l'ont predit, les geophysiciens trouvent cela dangereusement plausible, et même les experts scientifiques gouvernementaux finissent par arriver a cette terrifiante conclusion. La prophetie maya a ete examinee, discutee, minutieusement analysee. En 2012, nous saurons tous si elle est vraie, mais quelques-uns auront ete prevenus depuis longtemps..Lorsque les plaques tectoniques se mettent a glisser, provoquant de multiples seismes et detruisant Los Angeles au passage, Jackson Curtis, romancier, et sa famille se jettent a corps perdu, comme des millions d'individus, dans un voyage desespere. Tous ne pourront pas être sauves...;
1789_les_amants_de_la_bastille;https://www.youtube.com/watch?v=VDDrh8UmjoU;images\1789_les_amants_de_la_bastille.jpg;;musical;;dvd;;;
24_heure_limit;https://www.youtube.com/watch?v=zrCb5klZZCc;images\24_heure_limit.jpg;Ethan Hawke, Paul Anderson, Rutger Hauer;thriller, action;2017;bluray;;Travis Conrad, tueur d’elite d’une organisation paramilitaire, est tue en mission en Afrique du Sud. Mais une procedure medicale experimentale mise en place par ses employeurs le ramene temporairement a la vie, lui offrant 24 heures supplementaires. Dans cette course contre la mort, comment Travis va-t-il pouvoir se sortir de ce piege ?;12 ans
50_nuances_de_grey;https://www.youtube.com/watch?v=9G7oSGWHSVc&t=49s;images\50_nuances_de_grey.jpg;Jamie Dornan, Dakota Johnson, Jennifer Ehle;romance, drame;2015;bluray;;L'histoire d'une romance passionnelle, et sexuelle, entre un jeune homme riche amateur de femmes, et une etudiante vierge de 22 ans.;12 ans
50_nuances_plus_claire;https://www.youtube.com/watch?v=p-2dGdfZzL4;images\50_nuances_plus_claire.jpg;Dakota Johnson, Jamie Dornan, Eric Johnson;romance, drame;2018;bluray;;Pensant avoir laisse derriere eux les ombres du passe, les jeunes maries Christian et Ana profitent pleinement de leur relation tortueuse et partagent une vie de luxe. Mais alors qu’Anastasia commence tout juste a s’adapter a son nouveau rôle de Madame Grey et que Christian s’ouvre finalement a elle, de nouvelles menaces viennent mettre en peril leur vie commune avant même qu’elle n’ait debute. ;12 ans
50_nuances_plus_sombre;https://www.youtube.com/watch?v=0Ah1o0ZZjNY;images\50_nuances_plus_sombre.jpg;Dakota Johnson, Jamie Dornan, Bella Heathcote;romance, drame;2017;bluray;;C’est un Christian blesse qui tente de reconquerir Anastasia. Cette derniere exige un nouveau contrat avant de lui laisser une seconde chance. Mais une ombre surgit du passe de Christian et plane sur les deux amants, determinee a detruire un quelconque espoir de vie commune.;12 ans
60_secondes_chrono;https://www.youtube.com/watch?v=uhg-Y93I9-A;images\60_secondes_chrono.jpg;Nicolas Cage, Angelina Jolie, Robert Duvall;action;2000;bluray;;Pour sauver son frere Kip qui est entre les mains du redoutable Raymond Calitri, Memphis, un ancien braqueur de voitures, doit voler cinquante bolides d'exception en une nuit. Ses ennemis, ses amis, celle qu'il a toujours aimee et la police, qui n'a jamais reussi a le coincer, l'attendent au tournant.;
a_star_is_born;https://www.youtube.com/watch?v=jsg9NxCBzFs&t=31s;images\a_star_is_born.jpg;Lady Gaga, Bradley Cooper, Sam Elliott;musical, drame;2018;bluray;;Star de country un peu oubliee, Jackson Maine decouvre Ally, une jeune chanteuse tres prometteuse. Tandis qu'ils tombent follement amoureux l'un de l'autre, Jack propulse Ally sur le devant de la scene et fait d'elle une artiste adulee par le public. Bientôt eclipse par le succes de la jeune femme, il vit de plus en plus mal son propre declin…;
ad_astra;https://www.youtube.com/watch?v=Gf97Szc_UfI;images\ad_astra.jpg;Brad Pitt, Tommy Lee Jones, Ruth Negga;science-fiction;2019;bluray;;L’astronaute Roy McBride s’aventure jusqu’aux confins du systeme solaire a la recherche de son pere disparu et pour resoudre un mystere qui menace la survie de notre planete. Lors de son voyage, il sera confronte a des revelations mettant en cause la nature même de l’existence humaine, et notre place dans l’univers.;
african_bambi;https://www.youtube.com/watch?v=EDzq285OJ2g;images\african_bambi.jpg;;;;enfant;;;
